season,round,race_name,circuit,date,position,driver_code,driver_name,constructor,grid,laps,status,points,positions_gained
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,1,HAM,Lewis Hamilton,Mercedes,1,70,Finished,26.0,0
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,2,VER,Max Verstappen,Red Bull,7,70,Finished,18.0,5
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,3,BOT,Valtteri Bottas,Mercedes,2,70,Finished,15.0,-1
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,4,STR,Lance Stroll,Racing Point,3,70,Finished,12.0,-1
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,5,ALB,Alexander Albon,Red Bull,13,70,Finished,10.0,8
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,6,VET,Sebastian Vettel,Ferrari,5,69,+1 Lap,8.0,-1
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,7,PER,Sergio Pérez,Racing Point,4,69,+1 Lap,6.0,-3
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,8,RIC,Daniel Ricciardo,Renault,11,69,+1 Lap,4.0,3
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,9,SAI,Carlos Sainz,McLaren,9,69,+1 Lap,2.0,0
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,10,MAG,Kevin Magnussen,Haas F1 Team,0,69,+1 Lap,1.0,-10
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,11,LEC,Charles Leclerc,Ferrari,6,69,+1 Lap,0.0,-5
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,12,KVY,Daniil Kvyat,AlphaTauri,17,69,+1 Lap,0.0,5
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,13,NOR,Lando Norris,McLaren,8,69,+1 Lap,0.0,-5
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,14,OCO,Esteban Ocon,Renault,14,69,+1 Lap,0.0,0
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,15,RAI,Kimi Räikkönen,Alfa Romeo,20,69,+1 Lap,0.0,5
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,16,GRO,Romain Grosjean,Haas F1 Team,0,69,+1 Lap,0.0,-16
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,17,GIO,Antonio Giovinazzi,Alfa Romeo,19,69,+1 Lap,0.0,2
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,18,RUS,George Russell,Williams,12,69,+1 Lap,0.0,-6
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,19,LAT,Nicholas Latifi,Williams,15,65,+5 Laps,0.0,-4
2020,3,Hungarian Grand Prix,Hungaroring,2020-07-19,20,GAS,Pierre Gasly,AlphaTauri,10,15,Engine,0.0,-10
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,1,HAM,Lewis Hamilton,Mercedes,1,52,Finished,25.0,0
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,2,VER,Max Verstappen,Red Bull,3,52,Finished,19.0,1
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,3,LEC,Charles Leclerc,Ferrari,4,52,Finished,15.0,1
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,4,RIC,Daniel Ricciardo,Renault,8,52,Finished,12.0,4
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,5,NOR,Lando Norris,McLaren,5,52,Finished,10.0,0
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,6,OCO,Esteban Ocon,Renault,9,52,Finished,8.0,3
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,7,GAS,Pierre Gasly,AlphaTauri,11,52,Finished,6.0,4
