season,round,race_name,circuit,date,position,driver_code,driver_name,constructor,grid,laps,status,points
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,8,NOR,Lando Norris,McLaren,9,65,+1 Lap,4
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,9,OCO,Esteban Ocon,Alpine F1 Team,5,65,+1 Lap,2
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,10,GAS,Pierre Gasly,AlphaTauri,12,65,+1 Lap,1
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,11,STR,Lance Stroll,Aston Martin,11,65,+1 Lap,0
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,12,RAI,Kimi Räikkönen,Alfa Romeo,17,65,+1 Lap,0
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,13,VET,Sebastian Vettel,Aston Martin,13,65,+1 Lap,0
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,14,RUS,George Russell,Williams,15,65,+1 Lap,0
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,15,GIO,Antonio Giovinazzi,Alfa Romeo,14,65,+1 Lap,0
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,16,LAT,Nicholas Latifi,Williams,19,65,+1 Lap,0
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,17,ALO,Fernando Alonso,Alpine F1 Team,10,65,+1 Lap,0
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,18,MSC,Mick Schumacher,Haas F1 Team,18,64,+2 Laps,0
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,19,MAZ,Nikita Mazepin,Haas F1 Team,20,64,+2 Laps,0
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,20,TSU,Yuki Tsunoda,AlphaTauri,16,6,Electrical,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,1,VER,Max Verstappen,Red Bull,2,78,Finished,25
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,2,SAI,Carlos Sainz,Ferrari,4,78,Finished,18
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,3,NOR,Lando Norris,McLaren,5,78,Finished,15
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,4,PER,Sergio Pérez,Red Bull,9,78,Finished,12
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,5,VET,Sebastian Vettel,Aston Martin,8,78,Finished,10
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,6,GAS,Pierre Gasly,AlphaTauri,6,78,Finished,8
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,7,HAM,Lewis Hamilton,Mercedes,7,78,Finished,7
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,8,STR,Lance Stroll,Aston Martin,13,77,+1 Lap,4
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,9,OCO,Esteban Ocon,Alpine F1 Team,11,77,+1 Lap,2
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,10,GIO,Antonio Giovinazzi,Alfa Romeo,10,77,+1 Lap,1
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,11,RAI,Kimi Räikkönen,Alfa Romeo,14,77,+1 Lap,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,12,RIC,Daniel Ricciardo,McLaren,12,77,+1 Lap,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,13,ALO,Fernando Alonso,Alpine F1 Team,17,77,+1 Lap,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,14,RUS,George Russell,Williams,15,77,+1 Lap,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,15,LAT,Nicholas Latifi,Williams,18,77,+1 Lap,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,16,TSU,Yuki Tsunoda,AlphaTauri,16,77,+1 Lap,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,17,MAZ,Nikita Mazepin,Haas F1 Team,19,75,+3 Laps,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,18,MSC,Mick Schumacher,Haas F1 Team,20,75,+3 Laps,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,19,BOT,Valtteri Bottas,Mercedes,3,29,Wheel nut,0
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,20,LEC,Charles Leclerc,Ferrari,1,0,Driveshaft,0
